Name and Iterations,Description,Accuracy Score,Balanced Accuracy Score,AUC Score,Train Score,Test Score,Precision (Macro),Recall (Macro),F1-Score (Macro),Support (Macro)
adaboost_v1_1,Default parameters without SMOTEEN,0.888612522980426,0.7550597626993035,0.7550597626993035,0.8958806357444048,0.888612522980426,0.791952262300758,0.7550597626993035,0.7714289787164519,9247.0
adaboost_v1_1,Default parameters with SMOTEEN,0.8715259002919866,0.8375722861825226,0.8375722861825226,0.9557387057387058,0.8715259002919866,0.7580560579408535,0.8375722861825226,0.7871986748224162,9247.0
adaboost_v2_1,GridSearchCV tuning without SMOTEEN,0.8929382502433222,0.7648268822675544,0.7648268822675545,0.8984755108660396,0.8929382502433222,0.8010157063026797,0.7648268822675544,0.7810009490525838,9247.0
adaboost_v2_2,GridSearchCV tuning with SMOTEEN,0.8697956093868282,0.8457819151215547,0.8457819151215547,0.953907203907204,0.8697956093868282,0.7570395879787886,0.8457819151215547,0.7881288868326073,9247.0
adaboost_v3_1,RandomizedSearchCV tuning without SMOTEEN,0.8929382502433222,0.7648268822675544,0.7648268822675545,0.8984755108660396,0.8929382502433222,0.8010157063026797,0.7648268822675544,0.7810009490525838,9247.0
adaboost_v3_2,RandomizedSearchCV tuning with SMOTEEN,0.8697956093868282,0.8457819151215547,0.8457819151215547,0.953907203907204,0.8697956093868282,0.7570395879787886,0.8457819151215547,0.7881288868326073,9247.0
Logistic Regression V1_1,"Without SMOTEENN, No HyperParameter Tuning",0.8929382502433222,0.716937950286336,0.716937950286336,0.8809601037950049,0.8929382502433222,0.8256231783005444,0.716937950286336,0.7545818213403335,9247.0
Logistic Regression V1_2,"Without SMOTEENN, No HyperParameter Tuning",0.8667676003028009,0.8096634459051424,0.8096634459051424,0.9468864468864469,0.8667676003028009,0.7486516779207562,0.8096634459051424,0.7725751472153337,9247.0
Logistic Regression V2_1,"Without SMOTEENN, HyperParameter Tuning",0.8881799502541364,0.699991636607066,0.6999916366070661,0.8819331819656179,0.8881799502541364,0.8176422738420429,0.699991636607066,0.738395086048866,9247.0
Logistic Regression V2_2,"With SMOTEENN, HyperParameter Tuning",0.8667676003028009,0.8096634459051424,0.8096634459051424,0.9468864468864469,0.8667676003028009,0.7486516779207562,0.8096634459051424,0.7725751472153337,9247.0
Logistic Regression V3_1,Pipeline with Standard Scaler and Logistic Regression without SMOTEENN,0.8873148048015572,0.6919799743102497,0.6919799743102497,0.8803113850145962,0.8873148048015572,0.8202904917678229,0.6919799743102497,0.7318391905804316,9247.0
Logistic Regression V3_2,Pipeline with Standard Scaler and Logistic Regression with SMOTEENN,0.8652535957607873,0.795498793114686,0.7954987931146859,0.9416971916971917,0.8652535957607873,0.7449729277334527,0.795498793114686,0.7656185641417719,9247.0
Random Forest V1_1,"Without SMOTEENN, No HyperParameter Tuning",0.9024548502216935,0.7566003284859864,0.7566003284859864,1.0,0.9024548502216935,0.8359196432506917,0.7566003284859864,0.7879548139640784,9247.0
Random Forest V1_2,"With SMOTEENN, No HyperParameter Tuning",0.8744457661944415,0.8450666154600155,0.8450666154600155,1.0,0.8744457661944415,0.7625588928755889,0.8450666154600155,0.7926423121038503,9247.0
Random Forest V2_1,"Without SMOTEENN, HyperParameter Tuning",0.904185141126852,0.7532949877618984,0.7532949877618985,0.9756730457346741,0.904185141126852,0.8451140246939022,0.7532949877618984,0.7883409225155246,9247.0
Random Forest V2_2,"With SMOTEENN, HyperParameter Tuning",0.8735806207418623,0.8451326043407539,0.8451326043407539,1.0,0.8735806207418623,0.7614924547503288,0.8451326043407539,0.7917735217191448,9247.0
xgboost_v1_1,Default parameters without SMOTEEN,0.8922893911538877,0.7523271658486926,0.7523271658486927,1.0,0.8922893911538877,0.8035007426086723,0.7523271658486926,0.7740666536356529,9247.0
xgboost_v1_2,Default parameters with SMOTEEN,0.8730399048340002,0.8341391989075915,0.8341391989075914,1.0,0.8730399048340002,0.7595795067060218,0.8341391989075915,0.787590759349704,9247.0
xgboost_v2_1,GridSearchCV tuning without SMOTEEN,0.894235968422191,0.7664588241987798,0.7664588241987798,0.9477781381771002,0.894235968422191,0.8041439965243111,0.7664588241987798,0.7832439327439126,9247.0
xgboost_v2_2,GridSearchCV tuning with SMOTEEN,0.8705526116578349,0.8300737256943957,0.8300737256943957,0.9993894993894994,0.8705526116578349,0.7559454151434631,0.8300737256943957,0.7836775553751412,9247.0
xgboost_v3_1,RandomizedSearchCV tuning without SMOTEEN,0.9006164161349627,0.7690733972804299,0.7690733972804299,0.9468050600064872,0.9006164161349627,0.8224275261946494,0.7690733972804299,0.7918747726766373,9247.0
xgboost_v3_2,RandomizedSearchCV tuning with SMOTEEN,0.8676327457553801,0.8453699122392899,0.8453699122392899,0.9719169719169719,0.8676327457553801,0.7544984318178773,0.8453699122392899,0.7858234443073076,9247.0
